aX,aY,aZ,gX,gY,gZ
0.663,0.002,0.452,-3.723,40.71,-34.912
-0.841,-0.537,1.19,0.854,34.424,-29.907
-0.859,-0.189,0.965,-12.756,30.09,-19.531
-0.696,0.034,1.061,-18.311,36.56,-10.376
-0.252,0.081,0.919,-12.268,35.522,-5.249
-0.255,-0.124,0.973,-5.798,34.18,-3.296
-0.386,-0.229,0.967,-3.357,30.579,-1.709
-0.438,-0.184,1,-3.113,26.794,0.366
-0.328,-0.099,0.979,-2.441,21.973,1.892
-0.274,-0.12,0.952,-1.038,16.174,1.892
-0.318,-0.173,0.934,-0.488,10.315,0.854
-0.373,-0.142,0.912,-0.916,5.615,-0.366
-0.365,-0.101,0.9,-0.916,2.808,-0.977
-0.404,-0.101,0.897,-0.122,0.854,-1.099
-0.458,-0.099,0.894,0.916,-0.183,-0.977
-0.466,-0.074,0.885,2.197,-0.427,-0.122
-0.41,-0.082,0.866,4.211,0.061,0.977
-0.403,-0.131,0.872,5.066,0.366,1.465
-0.436,-0.172,0.884,4.456,0.305,0.854
-0.452,-0.135,0.875,2.808,0.549,-0.183
-0.448,-0.101,0.871,2.441,0.916,-0.549
-0.451,-0.12,0.881,3.479,1.465,0.427
-0.447,-0.127,0.888,4.456,2.014,1.77
-0.437,-0.119,0.893,4.761,2.502,2.38
-0.432,-0.103,0.893,5.005,2.38,3.052
-0.386,-0.136,0.888,5.798,2.075,3.54
-0.362,-0.17,0.904,5.798,1.16,3.54
-0.399,-0.152,0.916,4.639,-0.366,2.441
-0.444,-0.126,0.915,3.357,-2.014,1.221
-0.446,-0.131,0.912,3.479,-3.113,1.16
-0.429,-0.138,0.909,4.028,-3.845,1.526
-0.426,-0.128,0.899,3.723,-4.456,1.465
-0.416,-0.111,0.898,3.296,-4.883,1.343
-0.437,-0.107,0.904,4.211,-5.432,1.526
-0.44,-0.106,0.901,4.883,-6.042,2.197
-0.442,-0.106,0.896,5.554,-6.226,2.747
-0.449,-0.118,0.891,6.165,-6.47,2.991
-0.449,-0.135,0.883,6.226,-6.287,3.235
-0.449,-0.142,0.875,5.92,-5.859,2.991
-0.451,-0.147,0.872,5.249,-5.31,2.441
-0.455,-0.141,0.869,4.395,-4.517,1.953
-0.459,-0.128,0.865,3.784,-3.54,1.709
-0.47,-0.12,0.868,3.845,-2.686,1.77
-0.475,-0.088,0.868,3.967,-1.465,2.136
-0.468,-0.092,0.868,5.127,-0.427,3.113
-0.455,-0.115,0.872,5.92,0.854,3.967
-0.46,-0.119,0.868,6.409,1.465,4.333
-0.457,-0.104,0.858,6.531,2.502,4.578
-0.45,-0.118,0.861,7.263,3.54,5.066
-0.45,-0.121,0.867,7.996,4.578,6.226
-0.445,-0.117,0.872,8.545,5.188,6.897
-0.43,-0.136,0.877,9.216,5.615,7.751
-0.415,-0.168,0.879,9.216,5.737,7.874
-0.391,-0.207,0.88,8.118,5.249,7.019
-0.406,-0.19,0.882,6.104,4.333,5.371
-0.416,-0.136,0.891,4.333,3.357,4.089
-0.42,-0.116,0.896,4.578,2.625,3.906
-0.419,-0.13,0.898,5.859,1.892,4.883
-0.397,-0.171,0.895,6.47,1.343,5.066
-0.394,-0.194,0.896,5.92,0.305,4.333
-0.416,-0.19,0.895,4.15,-0.732,2.869
-0.424,-0.176,0.889,2.441,-1.526,1.465
-0.422,-0.165,0.888,1.099,-1.953,0.488
-0.425,-0.132,0.893,0.549,-2.319,0.183
-0.425,-0.114,0.904,1.038,-2.563,0.366
-0.409,-0.135,0.908,2.319,-3.357,0.977
-0.406,-0.159,0.908,3.174,-4.517,1.709
-0.423,-0.166,0.9,3.296,-5.859,1.099
-0.431,-0.171,0.892,2.441,-6.714,0.488
-0.443,-0.166,0.886,1.587,-7.263,-0.183
-0.453,-0.154,0.883,0.488,-7.202,-0.977
-0.461,-0.15,0.88,-0.061,-6.836,-1.221
-0.47,-0.148,0.879,-0.427,-6.409,-1.465
-0.478,-0.137,0.878,-0.671,-5.92,-1.587
-0.471,-0.132,0.872,-0.916,-4.944,-1.465
-0.47,-0.131,0.866,-0.854,-4.272,-1.343
-0.478,-0.132,0.86,-0.732,-3.174,-1.038
-0.454,-0.157,0.851,-0.61,-1.709,-0.793
-0.426,-0.183,0.86,-1.648,-0.916,-1.16
-0.443,-0.159,0.867,-3.296,-0.488,-2.075
-0.45,-0.133,0.87,-4.456,-0.061,-2.563
-0.456,-0.133,0.868,-5.005,0.183,-2.686
-0.462,-0.127,0.869,-5.127,0.61,-2.747
-0.471,-0.107,0.873,-4.944,1.404,-2.686
-0.481,-0.073,0.886,-4.211,2.075,-2.258
-0.466,-0.094,0.906,-2.197,2.563,-0.916
-0.445,-0.137,0.914,0,2.625,0.671
-0.467,-0.137,0.903,0.549,1.892,0.916
-0.485,-0.111,0.896,0.366,1.709,0.427
-0.459,-0.121,0.894,0.244,2.136,0.549
-0.36,-0.171,0.848,0.305,2.258,0.549
-0.203,-0.287,0.855,-1.404,0.732,-0.305
-0.279,-0.26,0.903,-5.554,-3.906,-2.686
-0.35,-0.128,0.929,-9.583,-8.911,-5.737
-0.334,-0.14,0.935,-10.376,-13.428,-7.812
-0.358,-0.149,0.929,-10.254,-18.25,-8.85
-0.408,-0.124,0.922,-11.047,-22.4,-10.62
-0.449,-0.085,0.906,-11.108,-25.391,-11.719
-0.509,-0.041,0.881,-9.644,-27.039,-11.475
-0.542,-0.018,0.859,-6.592,-26.855,-10.071
