aX,aY,aZ,gX,gY,gZ
-0.716,-0.584,1.485,18.738,-246.643,-45.898
-0.865,-0.698,1.579,15.747,-261.78,-66.895
-0.851,-0.95,1.593,9.094,-264.893,-92.102
-0.684,-0.943,1.498,-6.287,-268.555,-110.291
-0.545,-0.946,1.39,-19.165,-282.593,-122.986
-0.54,-1.072,1.372,-26.855,-300.415,-141.113
-0.888,-1.077,1.398,-41.504,-316.528,-153.87
-1.632,-0.842,1.81,-61.951,-320.557,-142.517
-1.799,-0.78,2.344,-57.861,-294.128,-103.577
-1.685,-0.807,2.578,-26.855,-243.958,-53.65
-2.223,-0.935,2.943,10.925,-186.035,-6.165
-2.598,-1.33,3.101,44.495,-97.717,37.231
-2.151,-1.627,2.988,45.898,24.78,76.05
-1.284,-1.374,2.565,15.259,138.428,100.525
-0.433,-0.815,2.229,-18.188,211.548,111.511
-0.007,-0.218,1.997,-30.64,237.671,112.366
0.045,0.075,1.883,-15.625,238.77,110.229
-0.179,0.107,1.899,14.221,235.229,107.117
-0.69,-0.052,2.023,45.044,238.098,105.286
-1.263,-0.302,2.07,65.918,256.531,109.07
-1.538,-0.511,1.961,67.749,292.542,119.385
-1.546,-0.539,1.733,52.307,333.557,131.836
-1.469,-0.465,1.461,30.151,364.868,143.494
-1.461,-0.342,1.211,9.338,381.042,151.672
-1.536,-0.195,1.027,-7.019,384.46,155.396
-1.702,-0.031,0.934,-18.372,379.639,156.311
-1.889,0.125,0.844,-24.963,370.85,155.701
-2.052,0.18,0.755,-26.733,362.427,153.442
-2.155,0.128,0.665,-26.001,355.835,147.034
-2.205,0.002,0.574,-27.222,350.098,138.184
-2.31,-0.115,0.472,-34.18,341.919,128.967
-2.433,-0.193,0.327,-46.204,331.665,120.728
-2.467,-0.246,0.164,-59.875,320.801,112.976
-2.417,-0.247,0.014,-72.754,307.19,105.347
-2.328,-0.177,-0.097,-82.092,289.856,98.328
-2.259,-0.099,-0.201,-84.412,268.677,93.262
-2.152,-0.036,-0.299,-79.651,245.728,89.844
-2.025,0.004,-0.376,-70.007,221.191,87.036
-1.906,0.056,-0.437,-57.861,194.702,83.252
