aX,aY,aZ,gX,gY,gZ
-0.842,0.473,1.241,92.346,6.165,39.856
-0.664,0.309,1.114,108.643,18.616,41.87
-0.467,-0.014,0.969,111.816,22.278,41.809
-0.228,-0.158,0.847,86.426,14.343,32.898
-0.239,0.252,1.041,22.888,-5.859,6.165
-0.596,1.301,1.446,-53.528,-26.55,-32.349
-0.849,1.612,1.608,-92.285,-32.227,-71.106
-0.983,2.019,1.786,-110.229,-24.719,-116.333
-0.928,1.77,1.761,-106.262,-10.132,-159.241
-0.732,1.057,1.594,-88.928,5.493,-190.369
-0.481,0.54,1.431,-88.989,14.771,-211.731
-0.35,0.359,1.348,-104.858,14.16,-223.511
-0.323,0.304,1.341,-119.141,8.606,-222.961
-0.341,0.186,1.362,-123.84,4.272,-210.449
-0.362,0.031,1.378,-121.765,3.601,-189.575
-0.363,-0.086,1.364,-117.981,6.531,-165.161
-0.339,-0.189,1.312,-113.953,11.597,-139.832
-0.31,-0.265,1.229,-110.229,16.602,-116.699
-0.284,-0.301,1.139,-107.239,20.508,-96.68
-0.275,-0.33,1.059,-103.882,22.644,-80.627
-0.278,-0.38,0.996,-99.854,22.949,-68.115
-0.282,-0.416,0.937,-95.886,21.973,-58.777
-0.283,-0.447,0.87,-91.003,20.02,-51.636
-0.289,-0.438,0.827,-84.839,16.235,-46.143
-0.339,-0.51,0.818,-76.355,10.986,-42.175
-0.412,-0.632,0.819,-66.956,5.432,-40.894
-0.51,-0.737,0.84,-59.998,0.977,-41.016
-0.61,-0.811,0.849,-54.565,-0.793,-41.138
-0.687,-0.883,0.839,-49.316,-0.122,-40.039
-0.752,-0.995,0.815,-44.189,2.441,-37.415
-0.799,-1.116,0.761,-40.649,6.104,-34.119
-0.842,-1.206,0.702,-39.429,10.071,-30.762
-0.891,-1.209,0.657,-39.001,13.672,-25.574
-0.898,-1.167,0.607,-35.889,17.395,-17.7
-0.836,-1.116,0.531,-28.015,21.057,-7.324
-0.741,-1.089,0.439,-17.09,23.071,3.845
-0.657,-1.072,0.353,-5.737,21.484,15.503
-0.606,-1.005,0.307,3.906,16.602,25.146
-0.615,-0.918,0.323,13,9.766,33.203
-0.675,-0.82,0.383,24.414,3.235,40.466
-0.73,-0.768,0.453,38.269,-0.671,46.875
-0.75,-0.756,0.492,51.88,-1.404,52.49
